2035.17587939699	0.0165013575799738
2070.35175879397	0.0297302268585204
2105.52763819095	0.039978716863494
2140.70351758794	0.0472468275948948
2175.87939698492	0.0515345590527226
2211.05527638191	0.0507820062599155
2246.23115577889	0.0496414384092269
2281.40703517588	0.0475099756656842
2316.58291457286	0.0420822920860794
2351.75879396985	0.0491731608359121
2386.93467336683	0.0546918123753224
2422.11055276382	0.0536692898757719
2492.46231155779	0.0612293246270668
2527.63819095477	0.058597054519749
2562.81407035176	0.0558212750522151
2597.98994974874	0.0566660339148989
2633.16582914573	0.0691175230563923
2668.34170854271	0.0796927968475078
2703.5175879397	0.0882419746320249
2738.69346733668	0.0771993842179321
2773.86934673367	0.0929755662659295
2809.04522613065	0.1208307756417
2844.22110552764	0.144269540769756
2879.39698492462	0.14122991693487
2949.74874371859	0.145500013889971
2984.92462311557	0.164503561559337
3020.10050251256	0.141720399184838
3055.27638190954	0.120392311844621
3090.45226130653	0.101558701548696
3125.62814070351	0.110966674847716
3195.97989949748	0.132659886606304
3231.15577889447	0.132279493829101
3266.33165829145	0.148818248154377
3301.50753768844	0.173356338672471
3336.68341708542	0.2039767345821
3371.85929648241	0.22014633348452
3407.03517587939	0.245207138318919
3442.21105527638	0.262114649191665
3477.38693467336	0.286042729243239
3512.56281407035	0.325045419594474
3547.73869346733	0.349340204604819
3582.91457286432	0.36166276974135
3618.0904522613	0.372863632130925
3653.26633165829	0.397428268388669
3688.44221105527	0.453668058203487
3723.61809045225	0.49346216209772
3758.79396984924	0.53693339113507
3793.96984924622	0.588897551476345
3829.14572864321	0.651169884568371
3864.32160804019	0.711369813883914
3900	0.7851924
3900.3	0.7853994
3900.6	0.785565
3900.9	0.785772
3901.2	0.7859376
3901.5	0.7861446
3901.8	0.7863102
3902.1	0.7864758
3902.4	0.7866828
3902.7	0.7868484
3903	0.7870554
3903.3	0.787221
3903.6	0.787428
3903.9	0.7875936
3904.2	0.7878006
3904.5	0.7879662
3904.8	0.7881318
3905.1	0.7883388
3905.4	0.7885044
3905.7	0.7887114
3906	0.788877
3906.3	0.7890426
3906.6	0.7892496
3906.9	0.7894152
3907.2	0.7896222
3907.5	0.7897878
3907.8	0.7899534
3908.1	0.7901604
3908.4	0.790326
3908.7	0.7904916
3909	0.7906986
3909.3	0.7908642
3909.6	0.7910298
3909.9	0.7912368
3910.2	0.7914024
3910.5	0.791568
3910.8	0.791775
3911.1	0.7919406
3911.4	0.7921062
3911.7	0.7923132
3912	0.7924788
3912.3	0.7926444
3912.6	0.79281
3912.9	0.793017
3913.2	0.7931826
3913.5	0.7933482
3913.8	0.7935552
3914.1	0.7937208
3914.4	0.7938864
3914.7	0.794052
3915	0.794259
3915.3	0.7944246
3915.6	0.7945902
3915.9	0.7947558
3916.2	0.7949628
3916.5	0.7951284
3916.8	0.795294
3917.1	0.7954596
3917.4	0.7956252
3917.7	0.7958322
3918	0.7959978
3918.3	0.7961634
